s,kN
4.436,1.5236
4.448,1.5356
4.461,1.5401
4.473,1.5434
4.485,1.5457
4.497,1.5484
4.509,1.5492
4.522,1.5477
4.534,1.5447
4.546,1.5411
4.558,1.5362
4.57,1.53
4.582,1.5232
4.595,1.5103
4.607,1.503
4.619,1.496
4.631,1.4885
4.643,1.4801
4.656,1.472
4.668,1.4635
4.68,1.4551
4.692,1.4476
4.704,1.4407
4.716,1.4344
4.729,1.4284
4.741,1.4195
4.753,1.4155
4.765,1.4127
4.777,1.4102
4.789,1.4078
4.802,1.4066
4.814,1.4063
4.831,1.4068
4.843,1.406
4.856,1.4059
4.868,1.4072
4.88,1.4086
4.892,1.4095
4.904,1.4109
4.916,1.414
4.929,1.4168
4.941,1.4197
4.953,1.4218
4.965,1.4254
4.977,1.4259
4.989,1.4255
5.002,1.4267
5.014,1.4266
5.026,1.4268
5.038,1.4269
5.05,1.4259
5.062,1.4247
5.075,1.4234
5.087,1.4208
5.099,1.4186
5.111,1.4119
5.123,1.4085
5.136,1.405
5.148,1.4014
5.16,1.3973
5.172,1.3923
5.184,1.3868
5.196,1.3822
5.209,1.3773
5.221,1.3723
5.233,1.3673
5.25,1.3581
5.262,1.3534
5.275,1.3493
5.287,1.3458
5.299,1.3439
5.311,1.3418
5.323,1.3408
5.336,1.3396
5.348,1.3403
5.36,1.3414
5.372,1.343
5.384,1.3455
5.396,1.349
5.409,1.3524
5.421,1.3554
5.433,1.3577
5.445,1.3606
5.457,1.3624
5.469,1.3653
5.482,1.3725
5.494,1.3756
5.506,1.3794
5.518,1.3826
5.53,1.3859
5.542,1.3892
5.555,1.3921
5.567,1.3946
5.579,1.3966
5.591,1.399
5.603,1.4005
5.616,1.3995
5.628,1.3983
5.64,1.3965
5.652,1.393
5.669,1.3891
5.682,1.3863
5.694,1.3849
5.706,1.3822
5.718,1.3813
5.73,1.3798
5.743,1.3774
5.755,1.3742
5.767,1.3713
5.779,1.3688
5.791,1.3672
5.803,1.3656
5.816,1.3637
5.828,1.3618
5.84,1.3617
5.852,1.363
5.864,1.3646
5.877,1.3658
5.889,1.367
5.901,1.3695
5.913,1.3721
5.925,1.3734
5.937,1.3745
5.949,1.3756
5.962,1.3766
5.974,1.3777
5.986,1.3784
5.998,1.3794
6.01,1.3805
6.023,1.3816
6.035,1.3824
6.047,1.3827
6.059,1.3826
6.071,1.3822
6.089,1.3837
6.101,1.3842
6.113,1.3834
6.125,1.3827
6.137,1.3827
6.15,1.382
6.162,1.3806
6.174,1.3787
6.186,1.3764
6.198,1.3743
6.211,1.3723
6.223,1.3713
6.235,1.3692
6.247,1.3641
6.259,1.3582
6.271,1.3542
